productid,productskuid,New Product Name,Quantity,New_level1,New_level2,Valued_level2,New_level3,brandname,orig_score,aggr_score
100020147,10023518.0,prepared wasabi in tube,43 g,masala,spices & masalas,,,Wasabi,0.0,0.0
100005022,10005774.0,pringles paprika,40 g,snacks,snacks,snacks,potato wafers,Pringles,0.0,0.0
100048744,10056454.0,raj wafers,200 g,snacks,snacks,snacks,potato wafers,Raj,0.0,0.0
100035894,10043074.0,rathod tomato sticks,200 g,snacks,snacks,snacks,namkeen,Rathod,0.0,0.0
100020098,10023460.0,sacla italia roasted red pepper pesto,190 g,masala,spices & masalas,,,Sacla,0.0,0.0
100114898,10126639.0,satyam taj cassia bark,50 g,masala,spices & masalas,spices & masalas,whole spices,Satyam,0.0,0.0
100056210,10064142.0,shan chicken broast masala,125 g,masala,spices & masalas,spices & masalas,powdered spices,Shan,0.0,0.0
100017014,10019800.0,shan lahori charga mix,50 g,,spices & masalas,spices & masalas,powdered spices,Shan,0.0,0.0
100072536,10082915.0,shreenathji bhakarwadi,200 g,snacks,snacks,snacks,namkeen,Shreenathji,0.0,0.0
100044581,10052181.0,sonal foods diet moong chakali,200 g,snacks,snacks,snacks,namkeen,Sonal Foods,0.0,0.0
100021057,10024510.0,suhana chili powder extra hot,100 g,masala,spices & masalas,spices & masalas,red chilli powder,Suhana,0.0,0.0
100152825,10164566.0,suhana desi dragon paneer chilli masala,50 g,masala,spices & masalas,spices & masalas,blended masalas,Suhana,0.0,0.0
100155246,,sunrise methi seeds,50 g,masala,spices & masalas,spices & masalas,whole spices,Sunrise,0.0,0.0
100071475,10081753.0,sunrise methi seeds,,masala,spices & masalas,spices & masalas,fenugreek seeds,Sunrise,0.0,0.0
100071476,10081759.0,sunrise methi seeds,100 g,masala,spices & masalas,spices & masalas,fenugreek seeds,Sunrise,0.0,0.0
100005002,10005752.0,waves fish wafers,100 g,snacks,snacks,snacks,potato wafers,Waves,0.0,0.0
100044560,10052161.0,sonal foods diet methi murukku,200 g,snacks,snacks,snacks,namkeen,Sonal Foods,0.0,0.0
